a,5,,,,,,,,,,,,,
b,2,,,,,,,,,,,,,
w0,0.5,,,,,,,,,,,,,
h,0.5,,,,,,,,,,,,,
t_max,20,,,,,,,,,,,,,
w_max = (a/b)^3,15.625,,,,,,,,,,,,,
,,,,,,,,,,,,,,
METODO EXACTO (analítico),,,,METODO DE EULER,,,,,METODO DE HEUN,,,,,
n,t,w_exacta,,n,t,w_Euler,"f(t,w)",,n,t,w_Heun,"f(t,w)",w_estrella,f_estrella
0,0,0.5,,0,0,0.5,2.149802625,,0,0,0.5,2.149802625,1.574901312,3.61838258
1,0.5,2.084315211,,1,0.5,1.574901312,3.61838258,,1,0.5,1.942046301,3.898836201,3.891464402,4.587327907
2,1,4.282755562,,2,1,3.384092603,4.502011516,,2,1,4.063587328,4.60520957,6.366192114,4.442342326
3,1.5,6.563229875,,3,1.5,5.635098361,4.563087399,,3,1.5,6.325475302,4.450467065,8.550708835,3.806209635
4,2,8.6179537,,4,2,7.916642061,4.027543587,,4,2,8.389644477,3.864957856,10.32212341,3.059447385
5,2.5,10.32778316,,5,2.5,9.930413854,3.239327782,,5,2.5,10.12074579,3.152896072,11.69719382,2.370275089
6,3,11.68282779,,6,3,11.55007774,2.448023061,,6,3,11.50153858,2.473473738,12.73827545,1.795037159
7,3.5,12.72337018,,7,3.5,12.77408928,1.774501865,,7,3.5,12.5686663,1.891635654,13.51448413,1.339528251
8,4,13.50576423,,8,4,13.66134021,1.250957834,,8,4,13.37645728,1.422095229,14.08750489,0.989816295
9,4.5,14.08566938,,9,4.5,14.28681912,0.865631658,,9,4.5,13.97943516,1.056609297,14.50773981,0.72649804
10,5,14.51124143,,10,5,14.71963495,0.591608169,,10,5,14.42521199,0.778654234,14.81453911,0.530743329
11,5.5,14.82139138,,11,5.5,15.01543904,0.400995734,,11,5.5,14.75256138,0.570522783,15.03782278,0.386464247
12,6,15.04632027,,12,6,15.21593691,0.270300767,,12,6,14.99180814,0.416320567,15.19996843,0.280753548
13,6.5,15.20888066,,13,6.5,15.35108729,0.181533007,,13,6.5,15.16607667,0.302913751,15.31753355,0.203621234
14,7,15.3260775,,14,7,15.44185379,0.12161792,,14,7,15.29271042,0.219940993,15.40268091,0.147505297
15,7.5,15.41042192,,15,7.5,15.50266275,0.081344566,,15,7.5,15.38457199,0.159457542,15.46430076,0.106763859
16,8,15.47104726,,16,8,15.54333504,0.054348239,,16,8,15.45112734,0.115483004,15.50886884,0.077228328
17,8.5,15.51458485,,17,8.5,15.57050915,0.036284935,,17,8.5,15.49930517,0.083571044,15.5410907,0.055839161
18,9,15.54583109,,18,9,15.58865162,0.024213442,,18,9,15.53415772,0.060443846,15.56437965,0.040361214
19,9.5,15.56824577,,19,9.5,15.60075834,0.016152741,,19,9.5,15.55935899,0.043699279,15.58120863,0.02916694
20,10,15.58431984,,20,10,15.60883471,0.010773139,,20,10,15.57757554,0.031584274,15.59336768,0.021073969
21,10.5,15.59584421,,21,10.5,15.61422128,0.007184158,,21,10.5,15.5907401,0.022823221,15.60215172,0.01522476
22,11,15.60410528,,22,11,15.61781336,0.004790357,,22,11,15.6002521,0.016489883,15.60849704,0.010998097
23,11.5,15.61002638,,23,11.5,15.62020854,0.003193979,,23,11.5,15.6071241,0.011912723,15.61308046,0.007944341
24,12,15.61426996,,24,12,15.62180553,0.002129501,,24,12,15.61208836,0.008605387,15.61639105,0.005738242
25,12.5,15.61731109,,25,12.5,15.62287028,0.001419748,,25,12.5,15.61567427,0.006215917,15.61878223,0.004144632
26,13,15.6194904,,26,13,15.62358016,0.000946535,,26,13,15.61826441,0.004489751,15.62050928,0.002993526
27,13.5,15.62105207,,27,13.5,15.62405342,0.000631039,,27,13.5,15.62013522,0.003242847,15.62175665,0.002162085
28,14,15.62217112,,28,14,15.62436894,0.0004207,,28,14,15.62148646,0.002342186,15.62265755,0.001561555
29,14.5,15.62297298,,29,14.5,15.62457929,0.00028047,,29,14.5,15.62246239,0.001691646,15.62330822,0.001127815
30,15,15.62354756,,30,15,15.62471953,0.000186981,,30,15,15.62316726,0.00122178,15.62377815,0.000814547
31,15.5,15.62395927,,31,15.5,15.62481302,0.000124655,,31,15.5,15.62367634,0.000882415,15.62411755,0.000588291
32,16,15.62425428,,32,16,15.62487534,8.31034E-05,,32,16,15.62404402,0.000637309,15.62436267,0.00042488
33,16.5,15.62446567,,33,16.5,15.6249169,5.54024E-05,,33,16.5,15.62430956,0.000460284,15.62453971,0.00030686
34,17,15.62461713,,34,17,15.6249446,3.6935E-05,,34,17,15.62450135,0.00033243,15.62466756,0.000221622
35,17.5,15.62472566,,35,17.5,15.62496306,2.46234E-05,,35,17.5,15.62463986,0.00024009,15.62475991,0.000160061
36,18,15.62480343,,36,18,15.62497538,1.64156E-05,,36,18,15.6247399,0.000173399,15.6248266,0.0001156
37,18.5,15.62485915,,37,18.5,15.62498358,1.09437E-05,,37,18.5,15.62481215,0.000125233,15.62487477,8.34888E-05
38,19,15.62489908,,38,19,15.62498906,7.29582E-06,,38,19,15.62486433,9.04461E-05,15.62490955,6.02976E-05
39,19.5,15.62492769,,39,19.5,15.6249927,4.86388E-06,,39,19.5,15.62490202,6.53223E-05,15.62493468,4.35483E-05
40,20,15.62494818,,40,20,15.62499514,3.24259E-06,,40,20,15.62492923,4.71773E-05,15.62495282,3.14516E-05
